"OID","Country or Area","Year","Description","Magnitude","Value"
"911..AH.ZF...","ARMENIA","2002","OFFICIAL RATE","DRAMS","0.00174456"
"911..AG.ZF...","ARMENIA","2002","OFFICIAL RATE","DRAMS","0.00170972"
"911..RH.ZF...","ARMENIA","2002","OFFICIAL RATE","DRAMS","0.00174456"
"911..RD.ZF...","ARMENIA","2002","OFFICIAL RATE","DRAMS","0.00134731"
"911..RB.ZF...","ARMENIA","2002","OFFICIAL RATE","DRAMS","742.407"
"911..DG.ZF...","ARMENIA","2002","OFFICIAL RATE","DRAMS","0.00170972"
"911..DE.ZF...","ARMENIA","2002","OFFICIAL RATE","DRAMS","584.89"
"911..NECZF...","ARMENIA","2002","NEER FROM INS","INDEX NUMBER","92.3413"
"911..RECZF...","ARMENIA","2001","REER BASED ON REL.CP","INDEX NUMBER","101.291"
"911..RF.ZF...","ARMENIA","2001","OFFICIAL RATE, PERIOD AVERAGE","DRAMS","555.078"
"911..AE.ZF...","ARMENIA","2001","OFFICIAL RATE, END OF PERIOD","DRAMS","561.81"
"911..AA.ZF...","ARMENIA","2001","OFFICIAL RATE, END OF PERIOD","DRAMS","706.043"
"911..AH.ZF...","ARMENIA","2001","OFFICIAL RATE","DRAMS","0.00180173"
"911..DE.ZF...","ARMENIA","2001","OFFICIAL RATE","DRAMS","561.81"
"911..AG.ZF...","ARMENIA","2001","OFFICIAL RATE","DRAMS","0.00177996"
"911..AF.ZF...","ARMENIA","2001","OFFICIAL RATE","DRAMS","555.078"
"911..RH.ZF...","ARMENIA","2001","OFFICIAL RATE","DRAMS","0.00180173"
"911..RB.ZF...","ARMENIA","2001","OFFICIAL RATE","DRAMS","706.636"
"911..RD.ZF...","ARMENIA","2001","OFFICIAL RATE","DRAMS","0.0014153"
"911..DG.ZF...","ARMENIA","2001","OFFICIAL RATE","DRAMS","0.00177996"
"911..NECZF...","ARMENIA","2001","NEER FROM INS","INDEX NUMBER","96.0392"
"911..RECZF...","ARMENIA","2000","REER BASED ON REL.CP","INDEX NUMBER","102.362"
"911..RF.ZF...","ARMENIA","2000","OFFICIAL RATE, PERIOD AVERAGE","DRAMS","539.526"
"911..AA.ZF...","ARMENIA","2000","OFFICIAL RATE, END OF PERIOD","DRAMS","719.441"
"911..AE.ZF...","ARMENIA","2000","OFFICIAL RATE, END OF PERIOD","DRAMS","552.18"
"911..AF.ZF...","ARMENIA","2000","OFFICIAL RATE","DRAMS","539.526"
"911..AG.ZF...","ARMENIA","2000","OFFICIAL RATE","DRAMS","0.001811"
"911..DE.ZF...","ARMENIA","2000","OFFICIAL RATE","DRAMS","552.18"
"911..AH.ZF...","ARMENIA","2000","OFFICIAL RATE","DRAMS","0.00185411"
"911..RH.ZF...","ARMENIA","2000","OFFICIAL RATE","DRAMS","0.00185411"
"911..DG.ZF...","ARMENIA","2000","OFFICIAL RATE","DRAMS","0.001811"
"911..RD.ZF...","ARMENIA","2000","OFFICIAL RATE","DRAMS","0.00140592"
"911..RB.ZF...","ARMENIA","2000","OFFICIAL RATE","DRAMS","711.52"
"911..NECZF...","ARMENIA","2000","NEER FROM INS","INDEX NUMBER","94.1945"
"911..RECZF...","ARMENIA","1999","REER BASED ON REL.CP","INDEX NUMBER","100.082"
"911..RF.ZF...","ARMENIA","1999","OFFICIAL RATE, PERIOD AVERAGE","DRAMS","535.062"
"911..AA.ZF...","ARMENIA","1999","OFFICIAL RATE, END OF PERIOD","DRAMS","718.88"
"911..AE.ZF...","ARMENIA","1999","OFFICIAL RATE, END OF PERIOD","DRAMS","523.77"
"911..AF.ZF...","ARMENIA","1999","OFFICIAL RATE","DRAMS","535.062"
"911..AG.ZF...","ARMENIA","1999","OFFICIAL RATE","DRAMS","0.00190923"
"911..RB.ZF...","ARMENIA","1999","OFFICIAL RATE","DRAMS","731.599"
"911..RD.ZF...","ARMENIA","1999","OFFICIAL RATE","DRAMS","0.00136703"
"911..AH.ZF...","ARMENIA","1999","OFFICIAL RATE","DRAMS","0.00186917"
"911..DE.ZF...","ARMENIA","1999","OFFICIAL RATE","DRAMS","523.77"
"911..DG.ZF...","ARMENIA","1999","OFFICIAL RATE","DRAMS","0.00190923"
"911..RH.ZF...","ARMENIA","1999","OFFICIAL RATE","DRAMS","0.00186917"
"911..NECZF...","ARMENIA","1999","NEER FROM INS","INDEX NUMBER","85.6865"
"911..RECZF...","ARMENIA","1998","REER BASED ON REL.CP","INDEX NUMBER","99.1674"
"911..RF.ZF...","ARMENIA","1998","OFFICIAL RATE, PERIOD AVERAGE","DRAMS","504.915"
"911..AE.ZF...","ARMENIA","1998","OFFICIAL RATE, END OF PERIOD","DRAMS","522.03"
"911..AA.ZF...","ARMENIA","1998","OFFICIAL RATE, END OF PERIOD","DRAMS","735.034"
"911..AF.ZF...","ARMENIA","1998","OFFICIAL RATE","DRAMS","504.915"
"911..AH.ZF...","ARMENIA","1998","OFFICIAL RATE","DRAMS","0.00198078"
"911..AG.ZF...","ARMENIA","1998","OFFICIAL RATE","DRAMS","0.0019156"
"911..RH.ZF...","ARMENIA","1998","OFFICIAL RATE","DRAMS","0.00198078"
"911..RD.ZF...","ARMENIA","1998","OFFICIAL RATE","DRAMS","0.00146017"
"911..RB.ZF...","ARMENIA","1998","OFFICIAL RATE","DRAMS","684.938"
"911..DG.ZF...","ARMENIA","1998","OFFICIAL RATE","DRAMS","0.0019156"
"911..DE.ZF...","ARMENIA","1998","OFFICIAL RATE","DRAMS","522.03"
"911..NECZF...","ARMENIA","1998","NEER FROM INS","INDEX NUMBER","76.844"
"911..RECZF...","ARMENIA","1997","REER BASED ON REL.CP","INDEX NUMBER","92.7365"
"911..RF.ZF...","ARMENIA","1997","OFFICIAL RATE, PERIOD AVERAGE","DRAMS","490.847"
"911..AA.ZF...","ARMENIA","1997","OFFICIAL RATE, END OF PERIOD","DRAMS","667.852"
"911..AE.ZF...","ARMENIA","1997","OFFICIAL RATE, END OF PERIOD","DRAMS","494.98"
"911..AF.ZF...","ARMENIA","1997","OFFICIAL RATE","DRAMS","490.847"
"911..AG.ZF...","ARMENIA","1997","OFFICIAL RATE","DRAMS","0.00202028"
"911..AH.ZF...","ARMENIA","1997","OFFICIAL RATE","DRAMS","0.00203926"
"911..DE.ZF...","ARMENIA","1997","OFFICIAL RATE","DRAMS","494.98"
"911..DG.ZF...","ARMENIA","1997","OFFICIAL RATE","DRAMS","0.00202028"
"911..RH.ZF...","ARMENIA","1997","OFFICIAL RATE","DRAMS","0.00203926"
"911..RB.ZF...","ARMENIA","1997","OFFICIAL RATE","DRAMS","675.413"
"911..RD.ZF...","ARMENIA","1997","OFFICIAL RATE","DRAMS","0.001482"
"911..NECZF...","ARMENIA","1997","NEER FROM INS","INDEX NUMBER","72.8675"
"314..RF.ZF...","ARUBA","2009","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","2009","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.80617"
"314..AE.ZF...","ARUBA","2009","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"314..RF.ZF...","ARUBA","2008","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AE.ZF...","ARUBA","2008","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","2008","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.75708"
"314..RF.ZF...","ARUBA","2007","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","2007","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.82865"
"314..AE.ZF...","ARUBA","2007","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"314..RF.ZF...","ARUBA","2006","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AE.ZF...","ARUBA","2006","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","2006","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.69288"
"314..RF.ZF...","ARUBA","2005","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","2005","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.55839"
"314..AE.ZF...","ARUBA","2005","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"314..RF.ZF...","ARUBA","2004","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AE.ZF...","ARUBA","2004","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","2004","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.77989"
"314..RF.ZF...","ARUBA","2003","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AE.ZF...","ARUBA","2003","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","2003","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.65989"
"314..RF.ZF...","ARUBA","2002","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AE.ZF...","ARUBA","2002","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","2002","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.43354"
"314..RF.ZF...","ARUBA","2001","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","2001","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.24955"
"314..AE.ZF...","ARUBA","2001","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"314..RF.ZF...","ARUBA","2000","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","2000","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.33221"
"314..AE.ZF...","ARUBA","2000","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"314..RF.ZF...","ARUBA","1999","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AE.ZF...","ARUBA","1999","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","1999","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.45679"
"314..RF.ZF...","ARUBA","1998","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","1998","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.52037"
"314..AE.ZF...","ARUBA","1998","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"314..RF.ZF...","ARUBA","1997","OFFICIAL RATE, PERIOD AVERAGE","ARUBAN FLORINS","1.79"
"314..AA.ZF...","ARUBA","1997","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","2.41516"
"314..AE.ZF...","ARUBA","1997","OFFICIAL RATE, END OF PERIOD","ARUBAN FLORINS","1.79"
"193..B..ZF...","AUSTRALIA","2009","THREE MONTH FORWARD RATE","AUSTRALIAN DOLLA","0.8854"
"193..RELZF...","AUSTRALIA","2009","REER BASED ON ULC","INDEX NUMBER","108.248"
"193..RECZF...","AUSTRALIA","2009","REER BASED ON REL.CP","INDEX NUMBER","102.655"
"193..NELZF...","AUSTRALIA","2009","NEER FROM ULC","INDEX NUMBER","99.8838"
"193..NECZF...","AUSTRALIA","2009","NEER FROM INS","INDEX NUMBER","99.0138"
"193..RF.ZF...","AUSTRALIA","2009","MARKET RATE, PERIOD AVERAGE","AUSTRALIAN DOLLA","1.28219"
"193..AA.ZF...","AUSTRALIA","2009","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.7479"
"193..AE.ZF...","AUSTRALIA","2009","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.11495"
"193..AF.ZF...","AUSTRALIA","2009","MARKET RATE","AUSTRALIAN DOLLA","1.28219"
"193..AH.ZF...","AUSTRALIA","2009","MARKET RATE","AUSTRALIAN DOLLA","0.791304"
"193..DE.ZF...","AUSTRALIA","2009","MARKET RATE","AUSTRALIAN DOLLA","1.11495"
"193..DG.ZF...","AUSTRALIA","2009","MARKET RATE","AUSTRALIAN DOLLA","0.8969"
"193..RB.ZF...","AUSTRALIA","2009","MARKET RATE","AUSTRALIAN DOLLA","1.97719"
"193..RD.ZF...","AUSTRALIA","2009","MARKET RATE","AUSTRALIAN DOLLA","0.513152"
"193..AHXZF...","AUSTRALIA","2009","EXCHANGE RATE INDEX 2000=100","INDEX NUMBER","103.595"
"193..B..ZF...","AUSTRALIA","2008","THREE MONTH FORWARD RATE","AUSTRALIAN DOLLA","0.7045"
"193..RELZF...","AUSTRALIA","2008","REER BASED ON ULC","INDEX NUMBER","116.047"
"193..RECZF...","AUSTRALIA","2008","REER BASED ON REL.CP","INDEX NUMBER","105.635"
"193..NELZF...","AUSTRALIA","2008","NEER FROM ULC","INDEX NUMBER","104.588"
"193..NECZF...","AUSTRALIA","2008","NEER FROM INS","INDEX NUMBER","103.869"
"193..RF.ZF...","AUSTRALIA","2008","MARKET RATE, PERIOD AVERAGE","AUSTRALIAN DOLLA","1.19218"
"193..AE.ZF...","AUSTRALIA","2008","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.44342"
"193..AA.ZF...","AUSTRALIA","2008","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","2.22325"
"193..AF.ZF...","AUSTRALIA","2008","MARKET RATE","AUSTRALIAN DOLLA","1.19218"
"193..AH.ZF...","AUSTRALIA","2008","MARKET RATE","AUSTRALIAN DOLLA","0.855265"
"193..DG.ZF...","AUSTRALIA","2008","MARKET RATE","AUSTRALIAN DOLLA","0.6928"
"193..DE.ZF...","AUSTRALIA","2008","MARKET RATE","AUSTRALIAN DOLLA","1.44342"
"193..RB.ZF...","AUSTRALIA","2008","MARKET RATE","AUSTRALIAN DOLLA","1.88376"
"193..RD.ZF...","AUSTRALIA","2008","MARKET RATE","AUSTRALIAN DOLLA","0.541272"
"193..AHXZF...","AUSTRALIA","2008","EXCHANGE RATE INDEX 2000=100","INDEX NUMBER","111.969"
"193..RELZF...","AUSTRALIA","2007","REER BASED ON ULC","INDEX NUMBER","115.601"
"193..RECZF...","AUSTRALIA","2007","REER BASED ON REL.CP","INDEX NUMBER","106.778"
"193..NELZF...","AUSTRALIA","2007","NEER FROM ULC","INDEX NUMBER","105.939"
"193..NECZF...","AUSTRALIA","2007","NEER FROM INS","INDEX NUMBER","105.548"
"193..RF.ZF...","AUSTRALIA","2007","MARKET RATE, PERIOD AVERAGE","AUSTRALIAN DOLLA","1.19507"
"193..AA.ZF...","AUSTRALIA","2007","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.79248"
"193..AE.ZF...","AUSTRALIA","2007","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.1343"
"193..AF.ZF...","AUSTRALIA","2007","MARKET RATE","AUSTRALIAN DOLLA","1.19507"
"193..AH.ZF...","AUSTRALIA","2007","MARKET RATE","AUSTRALIAN DOLLA","0.838561"
"193..RD.ZF...","AUSTRALIA","2007","MARKET RATE","AUSTRALIAN DOLLA","0.547847"
"193..RB.ZF...","AUSTRALIA","2007","MARKET RATE","AUSTRALIAN DOLLA","1.82924"
"193..DG.ZF...","AUSTRALIA","2007","MARKET RATE","AUSTRALIAN DOLLA","0.8816"
"193..DE.ZF...","AUSTRALIA","2007","MARKET RATE","AUSTRALIAN DOLLA","1.1343"
"193..AHXZF...","AUSTRALIA","2007","EXCHANGE RATE INDEX 2000=100","INDEX NUMBER","109.782"
"193..B..ZF...","AUSTRALIA","2006","THREE MONTH FORWARD RATE","AUSTRALIAN DOLLA","0.7858"
"193..RELZF...","AUSTRALIA","2006","REER BASED ON ULC","INDEX NUMBER","103.636"
"193..RECZF...","AUSTRALIA","2006","REER BASED ON REL.CP","INDEX NUMBER","99.9826"
"193..NELZF...","AUSTRALIA","2006","NEER FROM ULC","INDEX NUMBER","99.0033"
"193..NECZF...","AUSTRALIA","2006","NEER FROM INS","INDEX NUMBER","98.8221"
"193..RF.ZF...","AUSTRALIA","2006","MARKET RATE, PERIOD AVERAGE","AUSTRALIAN DOLLA","1.32797"
"193..AE.ZF...","AUSTRALIA","2006","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.26374"
"193..AA.ZF...","AUSTRALIA","2006","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.90118"
"193..AF.ZF...","AUSTRALIA","2006","MARKET RATE","AUSTRALIAN DOLLA","1.32797"
"193..AH.ZF...","AUSTRALIA","2006","MARKET RATE","AUSTRALIAN DOLLA","0.75335"
"193..RB.ZF...","AUSTRALIA","2006","MARKET RATE","AUSTRALIAN DOLLA","1.95377"
"193..RD.ZF...","AUSTRALIA","2006","MARKET RATE","AUSTRALIAN DOLLA","0.51205"
"193..DE.ZF...","AUSTRALIA","2006","MARKET RATE","AUSTRALIAN DOLLA","1.26374"
"193..DG.ZF...","AUSTRALIA","2006","MARKET RATE","AUSTRALIAN DOLLA","0.7913"
"193..AHXZF...","AUSTRALIA","2006","EXCHANGE RATE INDEX 2000=100","INDEX NUMBER","98.6262"
"193..B..ZF...","AUSTRALIA","2005","THREE MONTH FORWARD RATE","AUSTRALIAN DOLLA","0.7251"
"193..RELZF...","AUSTRALIA","2005","REER BASED ON ULC","INDEX NUMBER","100"
"193..RECZF...","AUSTRALIA","2005","REER BASED ON REL.CP","INDEX NUMBER","100"
"193..NELZF...","AUSTRALIA","2005","NEER FROM ULC","INDEX NUMBER","99.9978"
"193..NECZF...","AUSTRALIA","2005","NEER FROM INS","INDEX NUMBER","100"
"193..RF.ZF...","AUSTRALIA","2005","MARKET RATE, PERIOD AVERAGE","AUSTRALIAN DOLLA","1.30947"
"193..AA.ZF...","AUSTRALIA","2005","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.94803"
"193..AE.ZF...","AUSTRALIA","2005","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.36295"
"193..AF.ZF...","AUSTRALIA","2005","MARKET RATE","AUSTRALIAN DOLLA","1.30947"
"193..AH.ZF...","AUSTRALIA","2005","MARKET RATE","AUSTRALIAN DOLLA","0.763844"
"193..RD.ZF...","AUSTRALIA","2005","MARKET RATE","AUSTRALIAN DOLLA","0.517045"
"193..RB.ZF...","AUSTRALIA","2005","MARKET RATE","AUSTRALIAN DOLLA","1.93452"
"193..DE.ZF...","AUSTRALIA","2005","MARKET RATE","AUSTRALIAN DOLLA","1.36295"
"193..DG.ZF...","AUSTRALIA","2005","MARKET RATE","AUSTRALIAN DOLLA","0.7337"
"193..AHXZF...","AUSTRALIA","2005","EXCHANGE RATE INDEX 2000=100","INDEX NUMBER","100"
"193..B..ZF...","AUSTRALIA","2004","THREE MONTH FORWARD RATE","AUSTRALIAN DOLLA","0.7731"
"193..RELZF...","AUSTRALIA","2004","REER BASED ON ULC","INDEX NUMBER","92.7032"
"193..RECZF...","AUSTRALIA","2004","REER BASED ON REL.CP","INDEX NUMBER","97.0828"
"193..NELZF...","AUSTRALIA","2004","NEER FROM ULC","INDEX NUMBER","97.3478"
"193..NECZF...","AUSTRALIA","2004","NEER FROM INS","INDEX NUMBER","97.492"
"193..RF.ZF...","AUSTRALIA","2004","MARKET RATE, PERIOD AVERAGE","AUSTRALIAN DOLLA","1.35975"
"193..AA.ZF...","AUSTRALIA","2004","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.99359"
"193..AE.ZF...","AUSTRALIA","2004","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.2837"
"193..AF.ZF...","AUSTRALIA","2004","MARKET RATE","AUSTRALIAN DOLLA","1.35975"
"193..AH.ZF...","AUSTRALIA","2004","MARKET RATE","AUSTRALIAN DOLLA","0.736579"
"193..DE.ZF...","AUSTRALIA","2004","MARKET RATE","AUSTRALIAN DOLLA","1.2837"
"193..DG.ZF...","AUSTRALIA","2004","MARKET RATE","AUSTRALIAN DOLLA","0.779"
"193..RB.ZF...","AUSTRALIA","2004","MARKET RATE","AUSTRALIAN DOLLA","2.01376"
"193..RD.ZF...","AUSTRALIA","2004","MARKET RATE","AUSTRALIAN DOLLA","0.497361"
"193..AHXZF...","AUSTRALIA","2004","EXCHANGE RATE INDEX 2000=100","INDEX NUMBER","96.4306"
"193..B..ZF...","AUSTRALIA","2003","THREE MONTH FORWARD RATE","AUSTRALIAN DOLLA","0.7395"
"193..RELZF...","AUSTRALIA","2003","REER BASED ON ULC","INDEX NUMBER","82.3442"
"193..RECZF...","AUSTRALIA","2003","REER BASED ON REL.CP","INDEX NUMBER","90.186"
"193..NELZF...","AUSTRALIA","2003","NEER FROM ULC","INDEX NUMBER","91.3158"
"193..NECZF...","AUSTRALIA","2003","NEER FROM INS","INDEX NUMBER","90.7448"
"193..RF.ZF...","AUSTRALIA","2003","MARKET RATE, PERIOD AVERAGE","AUSTRALIAN DOLLA","1.54191"
"193..AE.ZF...","AUSTRALIA","2003","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.33333"
"193..AA.ZF...","AUSTRALIA","2003","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.98129"
"193..AH.ZF...","AUSTRALIA","2003","MARKET RATE","AUSTRALIAN DOLLA","0.651884"
"193..AF.ZF...","AUSTRALIA","2003","MARKET RATE","AUSTRALIAN DOLLA","1.54191"
"193..DG.ZF...","AUSTRALIA","2003","MARKET RATE","AUSTRALIAN DOLLA","0.75"
"193..DE.ZF...","AUSTRALIA","2003","MARKET RATE","AUSTRALIAN DOLLA","1.33333"
"193..RD.ZF...","AUSTRALIA","2003","MARKET RATE","AUSTRALIAN DOLLA","0.46544"
"193..RB.ZF...","AUSTRALIA","2003","MARKET RATE","AUSTRALIAN DOLLA","2.15957"
"193..AHXZF...","AUSTRALIA","2003","EXCHANGE RATE INDEX 2000=100","INDEX NUMBER","85.3426"
"193..B..ZF...","AUSTRALIA","2002","THREE MONTH FORWARD RATE","AUSTRALIAN DOLLA","0.5596"
"193..RELZF...","AUSTRALIA","2002","REER BASED ON ULC","INDEX NUMBER","72.3742"
"193..RECZF...","AUSTRALIA","2002","REER BASED ON REL.CP","INDEX NUMBER","80.5749"
"193..NELZF...","AUSTRALIA","2002","NEER FROM ULC","INDEX NUMBER","83.1848"
"193..NECZF...","AUSTRALIA","2002","NEER FROM INS","INDEX NUMBER","81.934"
"193..RF.ZF...","AUSTRALIA","2002","MARKET RATE, PERIOD AVERAGE","AUSTRALIAN DOLLA","1.84056"
"193..AE.ZF...","AUSTRALIA","2002","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.76616"
"193..AA.ZF...","AUSTRALIA","2002","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","2.40113"
"193..AF.ZF...","AUSTRALIA","2002","MARKET RATE","AUSTRALIAN DOLLA","1.84056"
"193..AH.ZF...","AUSTRALIA","2002","MARKET RATE","AUSTRALIAN DOLLA","0.543903"
"193..DG.ZF...","AUSTRALIA","2002","MARKET RATE","AUSTRALIAN DOLLA","0.5662"
"193..DE.ZF...","AUSTRALIA","2002","MARKET RATE","AUSTRALIAN DOLLA","1.76616"
"193..RB.ZF...","AUSTRALIA","2002","MARKET RATE","AUSTRALIAN DOLLA","2.38326"
"193..RD.ZF...","AUSTRALIA","2002","MARKET RATE","AUSTRALIAN DOLLA","0.42005"
"193..AHXZF...","AUSTRALIA","2002","EXCHANGE RATE INDEX 2000=100","INDEX NUMBER","71.206"
"193..B..ZF...","AUSTRALIA","2001","THREE MONTH FORWARD RATE","AUSTRALIAN DOLLA","0.5079"
"193..RELZF...","AUSTRALIA","2001","REER BASED ON ULC","INDEX NUMBER","68.8865"
"193..RECZF...","AUSTRALIA","2001","REER BASED ON REL.CP","INDEX NUMBER","76.8217"
"193..NELZF...","AUSTRALIA","2001","NEER FROM ULC","INDEX NUMBER","80.6015"
"193..NECZF...","AUSTRALIA","2001","NEER FROM INS","INDEX NUMBER","79.4507"
"193..RF.ZF...","AUSTRALIA","2001","MARKET RATE, PERIOD AVERAGE","AUSTRALIAN DOLLA","1.93344"
"193..AE.ZF...","AUSTRALIA","2001","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.95848"
"193..AA.ZF...","AUSTRALIA","2001","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","2.46128"
"193..AF.ZF...","AUSTRALIA","2001","MARKET RATE","AUSTRALIAN DOLLA","1.93344"
"193..AH.ZF...","AUSTRALIA","2001","MARKET RATE","AUSTRALIAN DOLLA","0.517636"
"193..DG.ZF...","AUSTRALIA","2001","MARKET RATE","AUSTRALIAN DOLLA","0.5106"
"193..DE.ZF...","AUSTRALIA","2001","MARKET RATE","AUSTRALIAN DOLLA","1.95848"
"193..RB.ZF...","AUSTRALIA","2001","MARKET RATE","AUSTRALIAN DOLLA","2.46135"
"193..RD.ZF...","AUSTRALIA","2001","MARKET RATE","AUSTRALIAN DOLLA","0.406615"
"193..AHXZF...","AUSTRALIA","2001","EXCHANGE RATE INDEX 2000=100","INDEX NUMBER","67.7673"
"193..B..ZF...","AUSTRALIA","2000","THREE MONTH FORWARD RATE","AUSTRALIAN DOLLA","0.5531"
"193..RELZF...","AUSTRALIA","2000","REER BASED ON ULC","INDEX NUMBER","73.0425"
"193..RECZF...","AUSTRALIA","2000","REER BASED ON REL.CP","INDEX NUMBER","80.1255"
"193..NELZF...","AUSTRALIA","2000","NEER FROM ULC","INDEX NUMBER","86.1104"
"193..NECZF...","AUSTRALIA","2000","NEER FROM INS","INDEX NUMBER","84.8954"
"193..RF.ZF...","AUSTRALIA","2000","MARKET RATE, PERIOD AVERAGE","AUSTRALIAN DOLLA","1.72483"
"193..AA.ZF...","AUSTRALIA","2000","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","2.35182"
"193..AE.ZF...","AUSTRALIA","2000","MARKET RATE, END OF PERIOD","AUSTRALIAN DOLLA","1.80505"
"193..DE.ZF...","AUSTRALIA","2000","MARKET RATE","AUSTRALIAN DOLLA","1.80505"
"193..DG.ZF...","AUSTRALIA","2000","MARKET RATE","AUSTRALIAN DOLLA","0.554"
"193..AF.ZF...","AUSTRALIA","2000","MARKET RATE","AUSTRALIAN DOLLA","1.72483"
"193..AH.ZF...","AUSTRALIA","2000","MARKET RATE","AUSTRALIAN DOLLA","0.582346"
"193..RB.ZF...","AUSTRALIA","2000","MARKET RATE","AUSTRALIAN DOLLA","2.27468"
"193..RD.ZF...","AUSTRALIA","2000","MARKET RATE","AUSTRALIAN DOLLA","0.441577"
"193..AHXZF...","AUSTRALIA","2000","EXCHANGE RATE INDEX 2000=100","INDEX NUMBER","76.2389"
"193..B..ZF...","AUSTRALIA","1999","THREE MONTH FORWARD RATE","AUSTRALIAN DOLLA","0.6546"
"193..RELZF...","AUSTRALIA","1999","REER BASED ON ULC","INDEX NUMBER","75.4675"
"193..RECZF...","AUSTRALIA","1999","REER BASED ON REL.CP","INDEX NUMBER","83.6844"
"193..NELZF...","AUSTRALIA","1999","NEER FROM ULC","INDEX NUMBER","92.0068"
"193..NECZF...","AUSTRALIA","1999","NEER FROM INS","INDEX NUMBER","90.8913"
"193..RF.ZF...","AUSTRALIA","1999","MARKET RATE, PERIOD AVERAGE","AUSTRALIAN DOLLA","1.54995"
